Field,Block,Variety,Lag_estimate_t,Lag_total,,
F4,B5,Cab Sauvignon,12.2,25.8,8.0,
F4,B6,Cab Sauvignon,6.3,,4.5,
F5,B7,Cab Sauvignon,7.2,,4.5,
F1,B1,Cab. Sauvignon,0.2,,0.5,
,,,,,,17.5
F1,B2,Chardonnay,4.8,,4.5,
F2,B4,Chardonnay,8.9,,10.0,
F2,B5,Chardonnay,4.7,,6.0,
F3,B4,Chardonnay,9.9,,12.0,
F5,B1,Chardonnay,10.8,,9.0,
F5,B2,Chardonnay,9.8,,9.0,
F5,B3,Chardonnay,14.7,,10.0,
F5,B4,Chardonnay,4.2,,4.0,
F4,B1,Grafted Chard,7.0,,12.0,
,,,,74.8,,76.5
F1,B7,Chasselas,29.0,,30.0,
F2,B3,Chasselas,10.1,,15.0,
,,T-bar,13.2,,,
F3,B3,Chasselas,44.2,,20.0,
,,,,96.5,,65.0
F2,B6,Chenin Blanc,25.1,,20.0,
,,Chenin Blanc,5.0,,12.0,
F1,B3,Chenin Blanc,42.5,,27.5,
,,,,72.6,,59.5
F1,B1,Ehrenfelser,16.5,,10.0,
F1,B2,Ehrenfelser,16.4,,10.0,
F3,B4,Ehrenfelser,7.2,,5.0,
,,,,40.0,,25.0
F3,B2,Foch,5.3,,4.0,
F4,B4,Foch,4.4,,4.0,
Osy,,Old Foch,0.0,,60.0,
,,,,9.6,,68.0
DRV,,Gamay,71.7,,65.0,
,,Top,49.9,,49.9,
,,Bottom,23.3,,23.3,
,,,,71.7,,65.0
F5,B8,Gewurztraminer,4.1,,4.0,
F5,B9,Gewurztraminer,,,4.0,
MRT,,Gewurztraminer,27.8,,28.0,
F2,B3,Gewurztraminer,3.3,,3.0,
PAT,,Patricia,0.0,,15.0,
ARV,,Gewurztraminer,5.6,,5.5,
,,,,40.8,,59.5
F1,B1,Merlot,4.6,,4.0,
F2,B2,Merlot,23.9,,12.5,
F2,B7,Merlot,14.6,,12.0,
F2,B8,Merlot,3.0,,4.0,
F6,B1,Merlot,15.8,,11.0,
F6,B2,Merlot,14.5,,11.0,
F2,B9,Grafted Merlot,6.2,,5.0,
,,,,82.5,,59.5
F1,B3,Optima,20.8,,12.0,
,,,,20.8,,12.0
F1,B5,Pinot Blanc,14.3,,14.0,
F2,B9,Pinot Blanc,5.0,,5.0,
,,,,19.3,,19.0
DRV,,Pinot Gris,12.9,,13.0,
ARV,,Pinot Gris,23.5,,24.0,
,,,,36.4,,37.0
F3,B1,Pinot Noir,5.9,,6.0,
F3,B3,Pinot Noir,9.7,,9.0,
F3,B5,Pinot Noir,4.6,,3.5,
F3,B6,Pinot Noir,2.0,,2.0,
F3,B7,Pinot Noir,3.1,,3.0,
F3,B8,Pinot Noir,1.8,,2.0,
F4,B2,Pinot Noir,2.7,,3.5,
F4,B3,Pinot Noir,7.8,,10.0,
F4,B7,Pinot Noir,3.8,,4.0,
F4,B8,Pinot Noir,7.9,,6.0,
F4,B9,Pinot Noir,10.3,,8.0,
F4,B10,Pinot Noir,9.2,,6.5,
F4,B11,Pinot Noir,6.6,,5.0,
F5,B5,Pinot Noir,9.4,,5.0,
F5,B6,Pinot Noir,11.4,,7.0,
F1,B4,Pinot Noir,15.0,,10.0,
F1,B5,Pinot Noir,5.2,,4.0,
F2,B5,Pinot Noir,8.0,,5.0,
F2,B6,Pinot Noir,6.1,,5.0,
F2,B7,Pinot Noir,2.3,,3.0,
F2,B8,Pinot Noir,1.5,,1.0,
DRV,,Pinot Noir,20.6,,15.0,
ARV,,Pinot Noir,14.2,,14.0,
,,,,169.1,,137.5
F1,B4,Riesling,24.2,,15.0,
MRT,,Riesling,45.2,,30.0,
F2,B1,Riesling,8.4,,6.0,
F2,B2,Riesling,9.9,,7.0,
F2,B4,Riesling,1.5,,1.5,
F3,B1,Riesling,3.8,,4.0,
F3,B2,Riesling,4.2,,5.0,
F3,B5,Riesling,5.5,,5.5,
,,,,102.6,,74.0
F1,B6,Sauvignon Blanc,5.1,,6.0,
,,,,5.1,,6.0
F2,B1,Syrah,10.3,,3.0,
OSO,,Syrah,1.5,,2.0,
,,,,11.8,,5.0
,,,,879.4,,786.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,