,vineyard,block,row.number,plantID
205,McIntyre,Q,68,205
206,McIntyre,Q,68,206
207,McIntyre,Q,68,207
208,McIntyre,Q,68,208
209,McIntyre,Q,68,209
210,McIntyre,Q,68,210
211,McIntyre,Q,69,211
212,McIntyre,Q,69,212
213,McIntyre,Q,69,213
214,McIntyre,Q,69,214
215,McIntyre,Q,69,215
216,McIntyre,Q,69,216
241,McIntyre,O,29,241
242,McIntyre,O,29,242
243,McIntyre,O,29,243
244,McIntyre,O,29,244
245,McIntyre,O,29,245
246,McIntyre,O,29,246
247,McIntyre,O,28,247
248,McIntyre,O,28,248
249,McIntyre,O,28,249
250,McIntyre,O,28,250
251,McIntyre,O,28,251
252,McIntyre,O,28,252
265,McIntyre,J,110,265
266,McIntyre,J,110,266
267,McIntyre,J,110,267
268,McIntyre,J,110,268
269,McIntyre,J,110,269
270,McIntyre,J,110,270
271,McIntyre,J,109,271
272,McIntyre,J,109,272
273,McIntyre,J,109,273
274,McIntyre,J,109,274
275,McIntyre,J,109,275
276,McIntyre,J,109,276
277,McIntyre,J,23,277
278,McIntyre,J,23,278
279,McIntyre,J,23,279
280,McIntyre,J,23,280
281,McIntyre,J,23,281
282,McIntyre,J,23,282
283,McIntyre,J,22,283
284,McIntyre,J,22,284
285,McIntyre,J,22,285
286,McIntyre,J,22,286
287,McIntyre,J,22,287
288,McIntyre,J,22,288
289,NK'MIP,C,29,289
290,NK'MIP,C,29,290
291,NK'MIP,C,29,291
292,NK'MIP,C,29,292
293,NK'MIP,C,29,293
294,NK'MIP,C,29,294
295,NK'MIP,C,28,295
296,NK'MIP,C,28,296
297,NK'MIP,C,28,297
298,NK'MIP,C,28,298
299,NK'MIP,C,28,299
300,NK'MIP,C,28,300
301,NK'MIP,C,29,301
302,NK'MIP,C,29,302
303,NK'MIP,C,29,303
304,NK'MIP,C,29,304
305,NK'MIP,C,29,305
306,NK'MIP,C,29,306
307,NK'MIP,C,28,307
308,NK'MIP,C,28,308
309,NK'MIP,C,28,309
310,NK'MIP,C,28,310
311,NK'MIP,C,28,311
312,NK'MIP,C,28,312
325,NK'MIP,G,45,325
326,NK'MIP,G,45,326
327,NK'MIP,G,45,327
328,NK'MIP,G,45,328
329,NK'MIP,G,45,329
330,NK'MIP,G,45,330
331,NK'MIP,G,44,331
332,NK'MIP,G,44,332
333,NK'MIP,G,44,333
334,NK'MIP,G,44,334
335,NK'MIP,G,44,335
336,NK'MIP,G,44,336
349,NK'MIP,G,21,349
350,NK'MIP,G,21,350
351,NK'MIP,G,21,351
352,NK'MIP,G,21,352
353,NK'MIP,G,21,353
354,NK'MIP,G,21,354
355,NK'MIP,G,22,355
356,NK'MIP,G,22,356
357,NK'MIP,G,22,357
358,NK'MIP,G,22,358
359,NK'MIP,G,22,359
360,NK'MIP,G,22,360
361,NK'MIP,B,54,361
362,NK'MIP,B,54,362
363,NK'MIP,B,54,363
364,NK'MIP,B,54,364
365,NK'MIP,B,54,365
366,NK'MIP,B,54,366
367,NK'MIP,B,53,367
368,NK'MIP,B,53,368
369,NK'MIP,B,53,369
370,NK'MIP,B,53,370
371,NK'MIP,B,53,371
372,NK'MIP,B,53,372
385,NK'MIP,B,18,385
386,NK'MIP,B,18,386
387,NK'MIP,B,18,387
388,NK'MIP,B,18,388
389,NK'MIP,B,18,389
390,NK'MIP,B,18,390
391,NK'MIP,B,19,391
392,NK'MIP,B,19,392
393,NK'MIP,B,19,393
394,NK'MIP,B,19,394
395,NK'MIP,B,19,395
396,NK'MIP,B,19,396
397,NK'MIP,F,5,397
398,NK'MIP,F,5,398
399,NK'MIP,F,5,399
400,NK'MIP,F,5,400
401,NK'MIP,F,5,401
402,NK'MIP,F,5,402
403,NK'MIP,F,6,403
404,NK'MIP,F,6,404
405,NK'MIP,F,6,405
406,NK'MIP,F,6,406
407,NK'MIP,F,6,407
408,NK'MIP,F,6,408
422,Dark Horse,G,5,422
423,Dark Horse,G,5,423
424,Dark Horse,G,5,424
425,Dark Horse,G,5,425
426,Dark Horse,G,5,426
428,Dark Horse,G,4,428
429,Dark Horse,G,4,429
430,Dark Horse,G,4,430
431,Dark Horse,G,4,431
432,Dark Horse,G,4,432
446,Dark Horse,G,11,446
447,Dark Horse,G,11,447
448,Dark Horse,G,11,448
449,Dark Horse,G,11,449
450,Dark Horse,G,11,450
452,Dark Horse,G,10,452
453,Dark Horse,G,10,453
454,Dark Horse,G,10,454
455,Dark Horse,G,10,455
456,Dark Horse,G,10,456
471,McIntyre,C,38,471
472,McIntyre,C,38,472
473,McIntyre,C,38,473
474,McIntyre,C,38,474
477,McIntyre,C,39,477
478,McIntyre,C,39,478
479,McIntyre,C,39,479
480,McIntyre,C,39,480
483,McIntyre,C,39,483
484,McIntyre,C,39,484
485,McIntyre,C,39,485
486,McIntyre,C,39,486
489,McIntyre,C,38,489
490,McIntyre,C,38,490
491,McIntyre,C,38,491
492,McIntyre,C,38,492
505,McIntyre,A,10,505
506,McIntyre,A,10,506
507,McIntyre,A,10,507
508,McIntyre,A,10,508
509,McIntyre,A,10,509
510,McIntyre,A,10,510
511,McIntyre,A,11,511
512,McIntyre,A,11,512
513,McIntyre,A,11,513
514,McIntyre,A,11,514
515,McIntyre,A,11,515
516,McIntyre,A,11,516
517,McIntyre,A,31,517
518,McIntyre,A,31,518
519,McIntyre,A,31,519
520,McIntyre,A,31,520
521,McIntyre,A,31,521
522,McIntyre,A,31,522
523,McIntyre,A,30,523
524,McIntyre,A,30,524
525,McIntyre,A,30,525
526,McIntyre,A,30,526
527,McIntyre,A,30,527
528,McIntyre,A,30,528
541,McIntyre,E,12,541
542,McIntyre,E,12,542
543,McIntyre,E,12,543
544,McIntyre,E,12,544
545,McIntyre,E,12,545
546,McIntyre,E,12,546
547,McIntyre,E,11,547
548,McIntyre,E,11,548
549,McIntyre,E,11,549
550,McIntyre,E,11,550
551,McIntyre,E,11,551
552,McIntyre,E,11,552
553,McIntyre,E,44,553
554,McIntyre,E,44,554
555,McIntyre,E,44,555
556,McIntyre,E,44,556
557,McIntyre,E,44,557
558,McIntyre,E,44,558
559,McIntyre,E,43,559
560,McIntyre,E,43,560
561,McIntyre,E,43,561
562,McIntyre,E,43,562
563,McIntyre,E,43,563
564,McIntyre,E,43,564
577,Quails Gate Estate,1-6qg,54,577
578,Quails Gate Estate,1-6qg,54,578
579,Quails Gate Estate,1-6qg,54,579
580,Quails Gate Estate,1-6qg,54,580
581,Quails Gate Estate,1-6qg,54,581
582,Quails Gate Estate,1-6qg,54,582
583,Quails Gate Estate,1-6qg,55,583
584,Quails Gate Estate,1-6qg,55,584
585,Quails Gate Estate,1-6qg,55,585
586,Quails Gate Estate,1-6qg,55,586
587,Quails Gate Estate,1-6qg,55,587
588,Quails Gate Estate,1-6qg,55,588
601,Quails Gate Estate,1-6qg,48,601
602,Quails Gate Estate,1-6qg,48,602
603,Quails Gate Estate,1-6qg,48,603
604,Quails Gate Estate,1-6qg,48,604
605,Quails Gate Estate,1-6qg,48,605
606,Quails Gate Estate,1-6qg,48,606
607,Quails Gate Estate,1-6qg,49,607
608,Quails Gate Estate,1-6qg,49,608
609,Quails Gate Estate,1-6qg,49,609
610,Quails Gate Estate,1-6qg,49,610
611,Quails Gate Estate,1-6qg,49,611
612,Quails Gate Estate,1-6qg,49,612
613,Quails Gate Estate,2-1qg,14,613
614,Quails Gate Estate,2-1qg,14,614
615,Quails Gate Estate,2-1qg,14,615
616,Quails Gate Estate,2-1qg,14,616
617,Quails Gate Estate,2-1qg,14,617
618,Quails Gate Estate,2-1qg,14,618
619,Quails Gate Estate,2-1qg,13,619
620,Quails Gate Estate,2-1qg,13,620
621,Quails Gate Estate,2-1qg,13,621
622,Quails Gate Estate,2-1qg,13,622
623,Quails Gate Estate,2-1qg,13,623
624,Quails Gate Estate,2-1qg,13,624
637,Quails Gate Estate,2-1qg,30,637
638,Quails Gate Estate,2-1qg,30,638
639,Quails Gate Estate,2-1qg,30,639
640,Quails Gate Estate,2-1qg,30,640
641,Quails Gate Estate,2-1qg,30,641
642,Quails Gate Estate,2-1qg,30,642
643,Quails Gate Estate,2-1qg,29,643
644,Quails Gate Estate,2-1qg,29,644
645,Quails Gate Estate,2-1qg,29,645
646,Quails Gate Estate,2-1qg,29,646
647,Quails Gate Estate,2-1qg,29,647
648,Quails Gate Estate,2-1qg,29,648
651,Quails Gate Estate,5-4qg,34,651
652,Quails Gate Estate,5-4qg,34,652
653,Quails Gate Estate,5-4qg,34,653
654,Quails Gate Estate,5-4qg,34,654
657,Quails Gate Estate,5-4qg,33,657
658,Quails Gate Estate,5-4qg,33,658
659,Quails Gate Estate,5-4qg,33,659
660,Quails Gate Estate,5-4qg,33,660
663,Quails Gate Estate,5-4qg,33,663
664,Quails Gate Estate,5-4qg,33,664
665,Quails Gate Estate,5-4qg,33,665
666,Quails Gate Estate,5-4qg,33,666
669,Quails Gate Estate,5-4qg,34,669
670,Quails Gate Estate,5-4qg,34,670
671,Quails Gate Estate,5-4qg,34,671
672,Quails Gate Estate,5-4qg,34,672
673,Quails Gate Estate,6-1qg,41,673
674,Quails Gate Estate,6-1qg,41,674
675,Quails Gate Estate,6-1qg,41,675
676,Quails Gate Estate,6-1qg,41,676
677,Quails Gate Estate,6-1qg,41,677
678,Quails Gate Estate,6-1qg,41,678
679,Quails Gate Estate,6-1qg,40,679
680,Quails Gate Estate,6-1qg,40,680
681,Quails Gate Estate,6-1qg,40,681
682,Quails Gate Estate,6-1qg,40,682
683,Quails Gate Estate,6-1qg,40,683
684,Quails Gate Estate,6-1qg,40,684
697,Quails Gate Estate,6-1qg,54,697
698,Quails Gate Estate,6-1qg,54,698
699,Quails Gate Estate,6-1qg,54,699
700,Quails Gate Estate,6-1qg,54,700
701,Quails Gate Estate,6-1qg,54,701
702,Quails Gate Estate,6-1qg,54,702
703,Quails Gate Estate,6-1qg,53,703
704,Quails Gate Estate,6-1qg,53,704
705,Quails Gate Estate,6-1qg,53,705
706,Quails Gate Estate,6-1qg,53,706
707,Quails Gate Estate,6-1qg,53,707
708,Quails Gate Estate,6-1qg,53,708
711,Quails Gate Estate,4-8qg,16,711
712,Quails Gate Estate,4-8qg,16,712
713,Quails Gate Estate,4-8qg,16,713
714,Quails Gate Estate,4-8qg,16,714
717,Quails Gate Estate,4-8qg,15,717
718,Quails Gate Estate,4-8qg,15,718
719,Quails Gate Estate,4-8qg,15,719
720,Quails Gate Estate,4-8qg,15,720
723,Quails Gate Estate,4-8qg,15,723
724,Quails Gate Estate,4-8qg,15,724
725,Quails Gate Estate,4-8qg,15,725
726,Quails Gate Estate,4-8qg,15,726
729,Quails Gate Estate,4-8qg,16,729
730,Quails Gate Estate,4-8qg,16,730
731,Quails Gate Estate,4-8qg,16,731
732,Quails Gate Estate,4-8qg,16,732
735,Quails Gate Estate,3-3qg,19,735
736,Quails Gate Estate,3-3qg,19,736
737,Quails Gate Estate,3-3qg,19,737
738,Quails Gate Estate,3-3qg,19,738
741,Quails Gate Estate,3-3qg,20,741
742,Quails Gate Estate,3-3qg,20,742
743,Quails Gate Estate,3-3qg,20,743
744,Quails Gate Estate,3-3qg,20,744
747,Quails Gate Estate,3-3qg,19,747
748,Quails Gate Estate,3-3qg,19,748
749,Quails Gate Estate,3-3qg,19,749
750,Quails Gate Estate,3-3qg,19,750
753,Quails Gate Estate,3-3qg,20,753
754,Quails Gate Estate,3-3qg,20,754
755,Quails Gate Estate,3-3qg,20,755
756,Quails Gate Estate,3-3qg,20,756
757,Quails Gate Estate,4-6qg,10,757
758,Quails Gate Estate,4-6qg,10,758
759,Quails Gate Estate,4-6qg,10,759
760,Quails Gate Estate,4-6qg,10,760
761,Quails Gate Estate,4-6qg,10,761
762,Quails Gate Estate,4-6qg,10,762
763,Quails Gate Estate,4-6qg,11,763
764,Quails Gate Estate,4-6qg,11,764
765,Quails Gate Estate,4-6qg,11,765
766,Quails Gate Estate,4-6qg,11,766
767,Quails Gate Estate,4-6qg,11,767
768,Quails Gate Estate,4-6qg,11,768
769,Quails Gate Estate,4-6qg,11,769
770,Quails Gate Estate,4-6qg,11,770
771,Quails Gate Estate,4-6qg,11,771
772,Quails Gate Estate,4-6qg,11,772
773,Quails Gate Estate,4-6qg,11,773
774,Quails Gate Estate,4-6qg,11,774
775,Quails Gate Estate,4-6qg,10,775
776,Quails Gate Estate,4-6qg,10,776
777,Quails Gate Estate,4-6qg,10,777
778,Quails Gate Estate,4-6qg,10,778
779,Quails Gate Estate,4-6qg,10,779
780,Quails Gate Estate,4-6qg,10,780
795,Quails Gate Estate,3-4b,56,795
796,Quails Gate Estate,3-4b,56,796
797,Quails Gate Estate,3-4b,56,797
798,Quails Gate Estate,3-4b,56,798
799,Quails Gate Estate,3-4b,55,799
800,Quails Gate Estate,3-4b,55,800
801,Quails Gate Estate,3-4b,55,801
802,Quails Gate Estate,3-4b,55,802
805,Quails Gate Estate,3-4b,56,805
806,Quails Gate Estate,3-4b,56,806
807,Quails Gate Estate,3-4b,56,807
808,Quails Gate Estate,3-4b,56,808
811,Quails Gate Estate,3-4b,55,811
812,Quails Gate Estate,3-4b,55,812
813,Quails Gate Estate,3-4b,55,813
814,Quails Gate Estate,3-4b,55,814
815,Mannhardt,8-6ma,2,815
816,Mannhardt,8-6ma,2,816
817,Mannhardt,8-6ma,2,817
818,Mannhardt,8-6ma,2,818
819,Mannhardt,8-6ma,2,819
820,Mannhardt,8-6ma,2,820
821,Mannhardt,8-6ma,3,821
822,Mannhardt,8-6ma,3,822
823,Mannhardt,8-6ma,3,823
824,Mannhardt,8-6ma,3,824
825,Mannhardt,8-6ma,3,825
826,Mannhardt,8-6ma,3,826
827,Mannhardt,8-6ma,3,827
828,Mannhardt,8-6ma,3,828
829,Mannhardt,8-6ma,3,829
830,Mannhardt,8-6ma,3,830
831,Mannhardt,8-6ma,3,831
832,Mannhardt,8-6ma,3,832
833,Mannhardt,8-6ma,2,833
834,Mannhardt,8-6ma,2,834
835,Mannhardt,8-6ma,2,835
836,Mannhardt,8-6ma,2,836
837,Mannhardt,8-6ma,2,837
838,Mannhardt,8-6ma,2,838
839,Mannhardt,8-8ma,6,839
840,Mannhardt,8-8ma,6,840
841,Mannhardt,8-8ma,6,841
842,Mannhardt,8-8ma,6,842
843,Mannhardt,8-8ma,6,843
844,Mannhardt,8-8ma,6,844
845,Mannhardt,8-8ma,5,845
846,Mannhardt,8-8ma,5,846
847,Mannhardt,8-8ma,5,847
848,Mannhardt,8-8ma,5,848
849,Mannhardt,8-8ma,5,849
850,Mannhardt,8-8ma,5,850
851,Mannhardt,8-8ma,6,851
852,Mannhardt,8-8ma,6,852
853,Mannhardt,8-8ma,6,853
854,Mannhardt,8-8ma,6,854
855,Mannhardt,8-8ma,6,855
856,Mannhardt,8-8ma,6,856
857,Mannhardt,8-8ma,5,857
858,Mannhardt,8-8ma,5,858
859,Mannhardt,8-8ma,5,859
860,Mannhardt,8-8ma,5,860
861,Mannhardt,8-8ma,5,861
862,Mannhardt,8-8ma,5,862
863,Mannhardt,9-1ma,14,863
864,Mannhardt,9-1ma,14,864
865,Mannhardt,9-1ma,14,865
866,Mannhardt,9-1ma,14,866
867,Mannhardt,9-1ma,14,867
868,Mannhardt,9-1ma,14,868
869,Mannhardt,9-1ma,15,869
870,Mannhardt,9-1ma,15,870
871,Mannhardt,9-1ma,15,871
872,Mannhardt,9-1ma,15,872
873,Mannhardt,9-1ma,15,873
874,Mannhardt,9-1ma,15,874
887,Mannhardt,9-1ma,10,887
888,Mannhardt,9-1ma,10,888
889,Mannhardt,9-1ma,10,889
890,Mannhardt,9-1ma,10,890
891,Mannhardt,9-1ma,10,891
892,Mannhardt,9-1ma,10,892
893,Mannhardt,9-1ma,9,893
894,Mannhardt,9-1ma,9,894
895,Mannhardt,9-1ma,9,895
896,Mannhardt,9-1ma,9,896
897,Mannhardt,9-1ma,9,897
898,Mannhardt,9-1ma,9,898
901,Dark Horse,J,8,901
902,Dark Horse,J,8,902
903,Dark Horse,J,8,903
904,Dark Horse,J,8,904
907,Dark Horse,J,7,907
908,Dark Horse,J,7,908
909,Dark Horse,J,7,909
910,Dark Horse,J,7,910
913,Dark Horse,J,7,913
914,Dark Horse,J,7,914
915,Dark Horse,J,7,915
916,Dark Horse,J,7,916
919,Dark Horse,J,8,919
920,Dark Horse,J,8,920
921,Dark Horse,J,8,921
922,Dark Horse,J,8,922
924,Dark Horse,E,5,924
925,Dark Horse,E,5,925
926,Dark Horse,E,5,926
927,Dark Horse,E,5,927
928,Dark Horse,E,5,928
930,Dark Horse,E,6,930
931,Dark Horse,E,6,931
932,Dark Horse,E,6,932
933,Dark Horse,E,6,933
934,Dark Horse,E,6,934
948,Dark Horse,E,2,948
949,Dark Horse,E,2,949
950,Dark Horse,E,2,950
951,Dark Horse,E,2,951
952,Dark Horse,E,2,952
954,Dark Horse,E,3,954
955,Dark Horse,E,3,955
956,Dark Horse,E,3,956
957,Dark Horse,E,3,957
958,Dark Horse,E,3,958
961,Dark Horse,1,27,961
962,Dark Horse,1,27,962
963,Dark Horse,1,27,963
964,Dark Horse,1,27,964
967,Dark Horse,1,26,967
968,Dark Horse,1,26,968
969,Dark Horse,1,26,969
970,Dark Horse,1,26,970
973,Dark Horse,1,27,973
974,Dark Horse,1,27,974
975,Dark Horse,1,27,975
976,Dark Horse,1,27,976
979,Dark Horse,1,26,979
980,Dark Horse,1,26,980
981,Dark Horse,1,26,981
982,Dark Horse,1,26,982
777,Quails Gate Estate,4-6qg,10,777
778,Quails Gate Estate,4-6qg,10,778
779,Quails Gate Estate,4-6qg,10,779
780,Quails Gate Estate,4-6qg,10,780
781,Quails Gate Estate,4-6qg,15,781
782,Quails Gate Estate,4-6qg,15,782
783,Quails Gate Estate,4-6qg,15,783
784,Quails Gate Estate,4-6qg,15,784
785,Quails Gate Estate,4-6qg,15,785
786,Quails Gate Estate,4-6qg,15,786
787,Quails Gate Estate,4-6qg,14,787
788,Quails Gate Estate,4-6qg,14,788
789,Quails Gate Estate,4-6qg,14,789
790,Quails Gate Estate,4-6qg,14,790
791,Quails Gate Estate,4-6qg,14,791
792,Quails Gate Estate,4-6qg,14,792
793,Quails Gate Estate,3-4b,56,793
794,Quails Gate Estate,3-4b,56,794
795,Quails Gate Estate,3-4b,56,795
796,Quails Gate Estate,3-4b,56,796
797,Quails Gate Estate,3-4b,56,797
798,Quails Gate Estate,3-4b,56,798
799,Quails Gate Estate,3-4b,55,799
800,Quails Gate Estate,3-4b,55,800
801,Quails Gate Estate,3-4b,55,801
802,Quails Gate Estate,3-4b,55,802
803,Quails Gate Estate,3-4b,55,803
804,Quails Gate Estate,3-4b,55,804
805,Quails Gate Estate,3-4b,56,805
806,Quails Gate Estate,3-4b,56,806
807,Quails Gate Estate,3-4b,56,807
808,Quails Gate Estate,3-4b,56,808
809,Quails Gate Estate,3-4b,56,809
810,Quails Gate Estate,3-4b,56,810
811,Quails Gate Estate,3-4b,55,811
812,Quails Gate Estate,3-4b,55,812
813,Quails Gate Estate,3-4b,55,813
814,Quails Gate Estate,3-4b,55,814
815,Quails Gate Estate,3-4b,55,815
816,Quails Gate Estate,3-4b,55,816
817,Mannhardt,8-6ma,2,817
818,Mannhardt,8-6ma,2,818
819,Mannhardt,8-6ma,2,819
820,Mannhardt,8-6ma,2,820
821,Mannhardt,8-6ma,2,821
822,Mannhardt,8-6ma,2,822
823,Mannhardt,8-6ma,3,823
824,Mannhardt,8-6ma,3,824
825,Mannhardt,8-6ma,3,825
826,Mannhardt,8-6ma,3,826
827,Mannhardt,8-6ma,3,827
828,Mannhardt,8-6ma,3,828
829,Mannhardt,8-6ma,3,829
830,Mannhardt,8-6ma,3,830
831,Mannhardt,8-6ma,3,831
832,Mannhardt,8-6ma,3,832
833,Mannhardt,8-6ma,3,833
834,Mannhardt,8-6ma,3,834
835,Mannhardt,8-6ma,2,835
836,Mannhardt,8-6ma,2,836
837,Mannhardt,8-6ma,2,837
838,Mannhardt,8-6ma,2,838
839,Mannhardt,8-6ma,2,839
840,Mannhardt,8-6ma,2,840
841,Mannhardt,8-8ma,6,841
842,Mannhardt,8-8ma,6,842
843,Mannhardt,8-8ma,6,843
844,Mannhardt,8-8ma,6,844
845,Mannhardt,8-8ma,6,845
846,Mannhardt,8-8ma,6,846
847,Mannhardt,8-8ma,5,847
848,Mannhardt,8-8ma,5,848
849,Mannhardt,8-8ma,5,849
850,Mannhardt,8-8ma,5,850
851,Mannhardt,8-8ma,5,851
852,Mannhardt,8-8ma,5,852
853,Mannhardt,8-8ma,6,853
854,Mannhardt,8-8ma,6,854
855,Mannhardt,8-8ma,6,855
856,Mannhardt,8-8ma,6,856
857,Mannhardt,8-8ma,6,857
858,Mannhardt,8-8ma,6,858
859,Mannhardt,8-8ma,5,859
860,Mannhardt,8-8ma,5,860
861,Mannhardt,8-8ma,5,861
862,Mannhardt,8-8ma,5,862
863,Mannhardt,8-8ma,5,863
864,Mannhardt,8-8ma,5,864
865,Mannhardt,9-1ma,14,865
866,Mannhardt,9-1ma,14,866
867,Mannhardt,9-1ma,14,867
868,Mannhardt,9-1ma,14,868
869,Mannhardt,9-1ma,14,869
870,Mannhardt,9-1ma,14,870
871,Mannhardt,9-1ma,15,871
872,Mannhardt,9-1ma,15,872
873,Mannhardt,9-1ma,15,873
874,Mannhardt,9-1ma,15,874
875,Mannhardt,9-1ma,15,875
876,Mannhardt,9-1ma,15,876
877,Mannhardt,9-1ma,14,877
878,Mannhardt,9-1ma,14,878
879,Mannhardt,9-1ma,14,879
880,Mannhardt,9-1ma,14,880
881,Mannhardt,9-1ma,14,881
882,Mannhardt,9-1ma,14,882
883,Mannhardt,9-1ma,15,883
884,Mannhardt,9-1ma,15,884
885,Mannhardt,9-1ma,15,885
886,Mannhardt,9-1ma,15,886
887,Mannhardt,9-1ma,15,887
888,Mannhardt,9-1ma,15,888
889,Mannhardt,9-1ma,10,889
890,Mannhardt,9-1ma,10,890
891,Mannhardt,9-1ma,10,891
892,Mannhardt,9-1ma,10,892
893,Mannhardt,9-1ma,10,893
894,Mannhardt,9-1ma,10,894
895,Mannhardt,9-1ma,9,895
896,Mannhardt,9-1ma,9,896
897,Mannhardt,9-1ma,9,897
898,Mannhardt,9-1ma,9,898
899,Mannhardt,9-1ma,9,899
900,Mannhardt,9-1ma,9,900
901,Dark Horse,J,8,901
902,Dark Horse,J,8,902
903,Dark Horse,J,8,903
904,Dark Horse,J,8,904
905,Dark Horse,J,8,905
906,Dark Horse,J,8,906
907,Dark Horse,J,7,907
908,Dark Horse,J,7,908
909,Dark Horse,J,7,909
910,Dark Horse,J,7,910
911,Dark Horse,J,7,911
912,Dark Horse,J,7,912
913,Dark Horse,J,7,913
914,Dark Horse,J,7,914
915,Dark Horse,J,7,915
916,Dark Horse,J,7,916
917,Dark Horse,J,7,917
918,Dark Horse,J,7,918
919,Dark Horse,J,8,919
920,Dark Horse,J,8,920
921,Dark Horse,J,8,921
922,Dark Horse,J,8,922
923,Dark Horse,J,8,923
924,Dark Horse,J,8,924
925,Dark Horse,E,5,925
926,Dark Horse,E,5,926
927,Dark Horse,E,5,927
928,Dark Horse,E,5,928
929,Dark Horse,E,5,929
930,Dark Horse,E,5,930
931,Dark Horse,E,6,931
932,Dark Horse,E,6,932
933,Dark Horse,E,6,933
934,Dark Horse,E,6,934
935,Dark Horse,E,6,935
936,Dark Horse,E,6,936
949,Dark Horse,E,2,949
950,Dark Horse,E,2,950
951,Dark Horse,E,2,951
952,Dark Horse,E,2,952
953,Dark Horse,E,2,953
954,Dark Horse,E,2,954
955,Dark Horse,E,3,955
956,Dark Horse,E,3,956
957,Dark Horse,E,3,957
958,Dark Horse,E,3,958
959,Dark Horse,E,3,959
960,Dark Horse,E,3,960
961,Dark Horse,1,27,961
962,Dark Horse,1,27,962
963,Dark Horse,1,27,963
964,Dark Horse,1,27,964
965,Dark Horse,1,27,965
966,Dark Horse,1,27,966
967,Dark Horse,1,26,967
968,Dark Horse,1,26,968
969,Dark Horse,1,26,969
970,Dark Horse,1,26,970
971,Dark Horse,1,26,971
972,Dark Horse,1,26,972
973,Dark Horse,1,27,973
974,Dark Horse,1,27,974
975,Dark Horse,1,27,975
976,Dark Horse,1,27,976
977,Dark Horse,1,27,977
978,Dark Horse,1,27,978
979,Dark Horse,1,26,979
980,Dark Horse,1,26,980
981,Dark Horse,1,26,981
982,Dark Horse,1,26,982
983,Dark Horse,1,26,983
984,Dark Horse,1,26,984